,DD,HD,Variant,Position,Binding_Energy
0,1.0,0.0,1,1,-217.8
1,1.0,0.0,1,2,-350.88
2,1.0,0.0,1,3,-139.14
3,1.0,0.0,1,4,-220.31
4,1.0,0.0,1,5,-330.27
5,1.0,0.0,1,6,-258.09
6,1.0,0.0,1,7,-84.64
7,1.0,0.0,1,8,-164.87
8,1.0,0.0,1,9,-300.33
9,1.0,0.0,1,10,-201.82
10,1.0,0.0,1,11,-341.49
11,1.0,0.0,1,12,-132.17
12,1.0,0.0,1,13,-162.61
13,1.0,0.0,1,14,-258.45
14,1.0,0.0,1,15,-314.71
15,1.0,0.0,1,16,-213.84
16,1.0,0.0,1,17,-277.33
17,1.0,0.0,1,18,-161.95
18,1.0,0.0,1,19,-329.99
19,1.0,0.0,1,20,-141.71
20,1.0,0.0,1,21,-165.3
21,1.0,0.0,1,22,-15.45
22,1.0,0.0,1,23,-184.61
23,1.0,0.0,1,24,-237.7
24,1.0,0.0,1,25,-299.64
25,1.0,0.0,1,26,-99.14
26,1.0,0.0,1,27,-263.63
27,1.0,0.0,1,28,-42.52
28,1.0,0.0,1,29,-219.77
29,1.0,0.0,1,30,-306.43
30,1.0,0.0,1,31,-234.91
31,1.0,0.0,1,32,-129.58
32,1.0,0.0,1,33,-199.93
33,1.0,0.0,1,34,-222.35
34,1.0,0.0,1,35,-423.64
35,1.0,0.0,1,36,-269.98
36,1.0,0.0,1,37,-346.04
37,1.0,0.0,1,38,-179.3
38,1.0,0.0,1,39,-246.93
39,1.0,0.0,1,40,-253.28
40,0.125,0.0,1,1,-48.78
41,0.125,0.0,1,2,-162.35
42,0.125,0.0,1,3,-105.52
43,0.125,0.0,1,4,-43.56
44,0.125,0.0,1,5,-271.86
45,0.125,0.0,1,6,-238.65
46,0.125,0.0,1,7,-318.28
47,0.125,0.0,1,8,-368.41
48,0.125,0.0,1,9,-140.6
49,0.125,0.0,1,10,-198.69
50,0.125,0.0,1,11,-319.11
51,0.125,0.0,1,12,-58.49
52,0.125,0.0,1,13,-92.25
53,0.125,0.0,1,14,-114.42
54,0.125,0.0,1,15,-199.06
55,0.125,0.0,1,16,-9.55
56,0.125,0.0,1,17,-386.58
57,0.125,0.0,1,18,-123.81
58,0.125,0.0,1,19,-160.28
59,0.125,0.0,1,20,-203.02
60,0.125,0.0,1,21,-127.92
61,0.125,0.0,1,22,-233.21
62,0.125,0.0,1,23,-214.43
63,0.125,0.0,1,24,-238.82
64,0.125,0.0,1,25,-332.23
65,0.125,0.0,1,26,-142.61
66,0.125,0.0,1,27,-87.1
67,0.125,0.0,1,28,-78.89
68,0.125,0.0,1,29,-188.92
69,0.125,0.0,1,30,-240.36
70,0.125,0.0,1,31,-70.65
71,0.125,0.0,1,32,-204.35
72,0.125,0.0,1,33,-73.82
73,0.125,0.0,1,34,-310.29
74,0.125,0.0,1,35,-134.01
75,0.125,0.0,1,36,-101.99
76,0.125,0.0,1,37,-104.41
77,0.125,0.0,1,38,-109.13
78,0.125,0.0,1,39,-279.26
79,0.125,0.0,1,40,-285.96
80,0.125,0.0,1,41,-155.77
81,0.125,0.0,1,42,-41.99
82,0.125,0.0,1,43,-12.77
83,0.125,0.0,2,1,-106.85
84,0.125,0.0,2,2,-238.94
85,0.125,0.0,2,3,-380.03
86,0.125,0.0,2,4,-235.87
87,0.125,0.0,2,5,-168.67
88,0.125,0.0,2,6,-221.76
89,0.125,0.0,2,7,-50.62
90,0.125,0.0,2,8,-227.01
91,0.125,0.0,2,9,-87.96
92,0.125,0.0,2,10,-270.65
93,0.125,0.0,2,11,-154.95
94,0.125,0.0,2,12,-287.56
95,0.125,0.0,2,13,-246.26
96,0.125,0.0,2,14,-207.3
97,0.125,0.0,2,15,-251.12
98,0.125,0.0,2,16,-194.44
99,0.125,0.0,2,17,-112.08
100,0.125,0.0,2,18,-141.71
101,0.125,0.0,2,19,-124.71
102,0.125,0.0,2,20,-140.28
103,0.125,0.0,2,21,-196.96
104,0.125,0.0,2,22,-241.26
105,0.125,0.0,2,23,-294.29
106,0.125,0.0,2,24,-97.46
107,0.125,0.0,2,25,-273.74
108,0.125,0.0,2,26,-120.97
109,0.125,0.0,2,27,-144.97
110,0.125,0.0,2,28,-143.89
111,0.125,0.0,2,29,-26.68
112,0.125,0.0,2,30,-69.49
113,0.125,0.0,2,31,-125.42
114,0.125,0.0,2,32,-147.76
115,0.125,0.0,2,33,-220.44
116,0.125,0.0,2,34,-152.94
117,0.125,0.0,2,35,-124.98
118,0.125,0.0,2,36,-116.0
119,0.125,0.0,2,37,-90.31
120,0.125,0.0,2,38,-126.39
121,0.125,0.0,2,39,-158.79
122,0.125,0.0,2,40,-119.77
123,0.125,0.0,2,41,-303.21
124,0.125,0.0,3,1,-335.35
