,DD,HD,Variant_HD,Variant_DD,Position,Hydrogen Bonds_ALA,Hydrogen Bonds_ARG,Hydrogen Bonds_GLN,Hydrogen Bonds_GLU,Hydrogen Bonds_GLY,Hydrogen Bonds_HYP,Hydrogen Bonds_LEU,Hydrogen Bonds_PRO
0,1.0,0.0,1,1,1,0.0,0.06,0.0,1.0,0.94,0.0,0.0,0.03
1,1.0,0.0,1,1,2,1.26,0.0,0.45,1.1,0.13,0.0,0.0,0.45
2,1.0,0.0,1,1,3,0.0,0.0,0.0,0.42,0.9,0.0,0.0,0.74
3,1.0,0.0,1,1,4,0.0,0.0,0.52,1.0,0.58,0.0,0.0,0.35
4,1.0,0.0,1,1,5,0.71,0.03,0.0,1.0,0.84,0.0,0.0,2.52
5,1.0,0.0,1,1,6,1.0,0.0,0.0,0.94,0.97,0.0,0.0,0.87
6,1.0,0.0,1,1,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.0,1,1,8,0.0,0.06,0.39,0.0,0.16,0.0,0.0,0.87
8,1.0,0.0,1,1,9,0.26,0.0,0.0,0.94,2.77,0.0,0.71,0.03
9,1.0,0.0,1,1,10,0.52,0.0,0.06,0.0,1.35,0.0,0.0,1.9
10,1.0,0.0,1,1,11,0.19,0.19,0.48,0.0,1.16,0.0,0.0,0.58
11,1.0,0.0,1,1,12,0.16,0.0,0.42,0.81,0.0,0.0,0.0,0.0
12,1.0,0.0,1,1,13,0.0,0.0,0.0,0.87,0.39,0.0,0.06,0.0
13,1.0,0.0,1,1,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.87
14,1.0,0.0,1,1,15,0.9,0.32,0.0,1.29,1.26,0.0,0.0,1.52
15,1.0,0.0,1,1,16,0.71,0.0,0.0,0.97,0.42,0.0,0.0,1.94
16,1.0,0.0,1,1,17,0.94,0.0,0.87,0.74,2.48,0.0,0.0,1.0
17,1.0,0.0,1,1,18,0.68,0.23,0.0,1.0,0.0,0.0,0.0,0.42
18,1.0,0.0,1,1,19,0.0,0.52,1.87,0.77,0.23,0.0,0.0,0.0
19,1.0,0.0,1,1,20,0.0,0.0,0.55,0.23,0.0,0.0,0.0,0.0
20,1.0,0.0,1,1,21,1.45,0.0,0.32,0.0,0.61,0.0,0.0,0.0
21,1.0,0.0,1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,0.0,1,1,23,0.0,0.16,0.0,0.9,0.0,0.0,0.0,0.0
23,1.0,0.0,1,1,24,0.52,0.06,0.48,1.0,0.03,0.0,0.0,0.0
24,1.0,0.0,1,1,25,1.26,0.0,0.0,0.0,1.68,0.0,0.0,1.03
25,1.0,0.0,1,1,26,0.0,0.06,0.0,0.81,0.0,0.0,0.0,0.0
26,1.0,0.0,1,1,27,0.48,0.26,0.0,0.61,0.84,0.0,0.0,0.39
27,1.0,0.0,1,1,28,0.0,0.32,0.0,0.03,0.71,0.0,0.0,0.23
28,1.0,0.0,1,1,29,0.61,0.0,0.03,0.0,0.71,0.0,0.0,0.0
29,1.0,0.0,1,1,30,0.1,0.16,0.81,0.94,1.19,0.0,0.0,0.0
30,1.0,0.0,1,1,31,0.45,0.0,0.0,0.97,0.9,0.0,0.0,0.0
31,1.0,0.0,1,1,32,0.13,0.0,0.0,1.0,0.0,0.0,0.0,0.61
32,1.0,0.0,1,1,33,0.03,0.0,1.0,0.97,0.0,0.0,0.0,0.19
33,1.0,0.0,1,1,34,1.0,0.29,0.0,0.23,1.0,0.0,0.0,0.03
34,1.0,0.0,1,1,35,0.74,0.19,1.23,1.19,0.97,0.0,0.0,0.0
35,1.0,0.0,1,1,36,0.0,0.03,0.9,0.0,0.0,0.0,0.0,1.87
36,1.0,0.0,1,1,37,0.52,0.03,0.81,0.0,0.55,0.0,0.0,1.0
37,1.0,0.0,1,1,38,0.0,0.0,0.71,0.0,0.65,0.0,0.0,0.55
38,1.0,0.0,1,1,39,0.87,0.29,0.0,1.74,0.94,0.0,0.0,0.0
39,1.0,0.0,1,1,40,0.0,0.0,0.0,0.61,0.84,0.0,0.0,1.0
40,0.125,0.0,1,1,1,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.125,0.0,1,1,2,0.03,0.84,0.84,0.0,1.97,0.0,0.0,1.0
42,0.125,0.0,1,1,3,1.87,0.94,0.0,0.0,1.03,0.0,0.0,1.03
43,0.125,0.0,1,1,4,0.81,0.0,0.74,0.0,0.0,0.0,0.0,0.0
44,0.125,0.0,1,1,5,0.71,1.19,0.16,1.16,1.29,0.0,0.0,0.94
45,0.125,0.0,1,1,6,0.81,1.58,0.0,0.0,1.13,0.0,0.0,1.97
46,0.125,0.0,1,1,7,0.94,1.16,0.0,0.9,1.94,0.0,0.0,1.26
47,0.125,0.0,1,1,8,0.1,1.0,0.97,0.0,0.65,0.0,0.0,2.06
48,0.125,0.0,1,1,9,0.0,0.32,0.35,0.84,0.03,0.0,0.0,0.03
49,0.125,0.0,1,1,10,0.0,0.29,0.58,0.9,1.81,0.0,0.0,0.0
50,0.125,0.0,1,1,11,0.0,1.0,0.55,1.0,0.65,0.0,0.0,0.06
51,0.125,0.0,1,1,12,0.0,0.0,0.84,0.77,0.0,0.0,0.0,0.81
52,0.125,0.0,1,1,13,1.77,0.74,0.0,1.0,0.71,0.0,0.0,0.19
53,0.125,0.0,1,1,14,1.97,0.03,0.0,0.23,0.0,0.0,0.0,0.1
54,0.125,0.0,1,1,15,0.1,0.0,1.0,0.0,1.84,0.0,0.0,0.0
55,0.125,0.0,1,1,16,0.48,0.0,0.06,0.0,0.0,0.0,0.0,0.0
56,0.125,0.0,1,1,17,1.97,0.03,1.84,0.87,0.9,0.0,0.0,1.0
57,0.125,0.0,1,1,18,1.0,0.0,1.42,0.29,1.1,0.0,0.0,1.0
58,0.125,0.0,1,1,19,0.97,0.87,0.0,0.55,1.0,0.0,0.0,0.94
59,0.125,0.0,1,1,20,0.71,0.97,0.9,1.0,1.42,0.0,0.0,0.94
60,0.125,0.0,1,1,21,0.35,0.1,0.0,0.55,0.19,0.0,0.0,0.0
61,0.125,0.0,1,1,22,1.19,0.03,1.19,0.97,0.32,0.0,0.0,0.55
62,0.125,0.0,1,1,23,0.87,0.0,0.06,0.45,0.58,0.0,0.0,1.26
63,0.125,0.0,1,1,24,0.74,0.1,0.87,0.42,1.42,0.0,0.0,1.55
64,0.125,0.0,1,1,25,1.32,0.06,1.52,0.84,0.9,0.0,0.0,0.23
65,0.125,0.0,1,1,26,1.0,0.42,1.13,0.61,1.0,0.0,0.0,1.0
66,0.125,0.0,1,1,27,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.65
67,0.125,0.0,1,1,28,2.45,0.03,0.74,0.48,0.0,0.0,0.0,0.0
68,0.125,0.0,1,1,29,0.03,0.97,0.81,1.0,0.03,0.0,0.0,0.0
69,0.125,0.0,1,1,30,1.65,0.26,0.39,0.0,1.03,0.0,0.0,2.97
70,0.125,0.0,1,1,31,0.84,0.0,0.81,0.0,1.87,0.0,0.0,0.71
71,0.125,0.0,1,1,32,1.0,0.0,1.77,0.0,1.94,0.0,0.0,0.0
72,0.125,0.0,1,1,33,0.0,0.97,0.0,0.84,0.29,0.0,0.0,0.71
73,0.125,0.0,1,1,34,1.0,1.0,0.0,0.35,1.0,0.0,0.0,1.42
74,0.125,0.0,1,1,35,0.03,0.97,0.0,0.29,0.0,0.0,0.0,0.16
75,0.125,0.0,1,1,36,1.0,0.0,1.39,0.0,0.68,0.0,0.74,0.0
76,0.125,0.0,1,1,37,0.77,0.0,1.48,0.0,0.39,0.0,0.0,0.48
77,0.125,0.0,1,1,38,0.0,1.0,0.77,0.0,0.0,0.0,0.0,0.0
78,0.125,0.0,1,1,39,1.81,0.16,0.48,0.0,1.42,0.0,0.0,2.52
79,0.125,0.0,1,1,40,0.16,1.0,0.0,0.9,0.19,0.0,0.0,1.52
80,0.125,0.0,1,1,41,0.74,0.77,0.0,0.0,0.0,0.0,0.0,0.13
81,0.125,0.0,1,1,42,0.13,0.55,0.0,0.0,0.0,0.0,0.0,0.0
82,0.125,0.0,1,1,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
83,0.125,0.0,1,2,1,1.13,0.0,0.0,0.77,1.61,0.0,0.0,0.9
84,0.125,0.0,1,2,2,0.84,1.74,0.0,0.0,1.84,0.0,0.0,1.0
85,0.125,0.0,1,2,3,0.74,1.29,0.97,1.13,0.03,0.0,0.42,0.97
86,0.125,0.0,1,2,4,0.97,1.45,0.0,0.58,1.03,0.0,0.0,1.03
87,0.125,0.0,1,2,5,0.0,1.0,0.94,0.29,0.0,0.0,0.0,0.26
88,0.125,0.0,1,2,6,0.97,0.0,1.0,1.0,0.1,0.0,0.0,0.87
89,0.125,0.0,1,2,7,0.0,0.45,0.06,0.1,0.0,0.0,0.0,0.0
90,0.125,0.0,1,2,8,0.94,0.0,0.84,0.0,1.35,0.0,0.0,0.03
